timestamp,predicted_pm25,ispu_value,ews_category,ews_action
2026-01-04 20:00:00,52.02,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 21:00:00,52.21,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 22:00:00,53.38,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-04 23:00:00,53.68,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 00:00:00,55.14,100,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 01:00:00,56.15,102,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 02:00:00,58.06,104,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 03:00:00,59.57,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 04:00:00,61.58,107,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 05:00:00,63.07,109,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 06:00:00,64.5,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 07:00:00,63.94,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 08:00:00,59.94,106,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-05 09:00:00,52.54,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
